time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003666,0.3194,0.1610,-0.2778,0.453
0.011284,0.3041,0.1305,0.0140,0.331
0.038393,0.2885,0.0975,0.0325,0.306
0.038845,0.2728,0.0627,0.0498,0.284
0.039086,0.2570,0.0268,0.0660,0.267
0.049453,0.2414,0.0043,0.0803,0.254
0.058981,0.2122,-0.0042,0.0794,0.227
0.070050,0.1832,-0.0120,0.0631,0.194
0.094490,0.1682,0.0082,0.0441,0.174
0.095598,0.1535,0.0292,0.0215,0.158
0.122392,0.1391,0.0509,0.0090,0.148
0.122894,0.1251,0.0596,-0.0065,0.139
0.123212,0.1113,0.0688,-0.0240,0.133
0.130505,0.1112,0.0785,-0.0140,0.137
0.140115,0.0974,0.0752,-0.0032,0.123
0.150558,0.0973,0.0453,0.0081,0.108
0.161779,0.0972,0.0295,0.0336,0.107
0.171919,0.0971,0.0004,0.0592,0.114
0.186674,0.1107,-0.0150,0.0849,0.140
0.190387,0.1242,-0.0306,0.1108,0.169
0.199300,0.1240,-0.0328,0.1231,0.178
0.220543,0.1239,-0.0486,0.1490,0.200
0.221021,0.1238,-0.0640,0.1613,0.213
0.229428,0.1374,-0.0654,0.1594,0.220
0.240447,0.1376,-0.0798,0.1696,0.233
0.250679,0.1516,-0.0938,0.1643,0.242
0.260714,0.1521,-0.1349,0.1570,0.257
0.271328,0.1392,-0.1617,0.1616,0.268
0.280734,0.1402,-0.1733,0.1517,0.270
0.291159,0.1415,-0.1826,0.1551,0.278
0.299771,0.1294,-0.2035,0.1584,0.289
0.318222,0.1310,-0.1957,0.1482,0.278
0.319624,0.1055,-0.2002,0.1655,0.280
0.331758,0.0937,-0.1902,0.1693,0.271
0.340438,0.0683,-0.1797,0.1597,0.250
0.350528,0.0564,0.0614,0.1502,0.172
0.361531,0.0715,0.0834,0.1815,0.212
0.371052,0.1137,0.3349,0.1989,0.406
0.381128,0.1558,0.3535,0.2024,0.436
0.389743,0.1841,0.3576,0.1785,0.440
0.401820,0.1985,0.3588,0.1817,0.449
0.410437,0.2260,0.3140,0.1713,0.423
0.420332,0.2392,0.2768,0.1474,0.394
0.430504,0.2383,0.2350,0.1374,0.362
0.440561,0.2505,0.1904,0.1142,0.335
0.450861,0.2353,0.1577,0.0914,0.298
0.460610,0.2199,0.1239,0.0691,0.262
0.470263,0.1909,0.0770,0.0610,0.215
0.480485,0.1755,0.0447,0.0399,0.185
0.489306,0.1739,0.0010,0.0332,0.177
0.499752,0.1589,-0.0540,0.0137,0.168
0.509083,0.1440,-0.0937,0.0085,0.172
0.519493,0.1429,-0.1450,0.0039,0.204
0.529083,0.1559,-0.1793,-0.0138,0.238
0.540006,0.1558,-0.2090,-0.0173,0.261
0.550859,0.1562,-0.2340,-0.0201,0.282
0.560052,0.1571,-0.2552,-0.0220,0.300
0.571214,0.1582,-0.2737,-0.0228,0.317
0.580863,0.1459,-0.2764,-0.0363,0.315
0.590631,0.1474,-0.2776,-0.0354,0.316
0.607602,0.1353,-0.2639,-0.0475,0.300
0.611754,0.1233,-0.2357,-0.0590,0.272
0.619682,0.1113,-0.2070,-0.0700,0.245
0.637499,0.1129,-0.1783,-0.0806,0.226
0.639389,0.1008,-0.1499,-0.1043,0.209
0.650118,0.1022,-0.1222,-0.1274,0.204
0.662000,0.1034,-0.1089,-0.1363,0.203
0.670875,0.1044,-0.0830,-0.1444,0.197
0.681598,0.1053,-0.0584,-0.1516,0.194
0.691382,0.1195,-0.0485,-0.1443,0.194
0.699591,0.1336,-0.0398,-0.1499,0.205
0.723300,0.1476,-0.0184,-0.1547,0.215
0.724230,0.1477,0.0020,-0.1589,0.217
0.729591,0.1613,0.0346,-0.1626,0.232
0.740741,0.1474,0.0651,-0.1523,0.222
0.750428,0.1333,0.0799,-0.1418,0.210
0.760746,0.1189,0.0928,-0.1449,0.209
0.771087,0.0908,0.1041,-0.1210,0.184
0.780274,0.0761,0.1140,-0.0839,0.161
0.790992,0.0614,0.1227,-0.0474,0.145
0.799524,0.0466,0.1034,0.0019,0.113
0.822741,0.0454,0.0701,0.0365,0.091
0.823637,0.0443,0.0502,0.0565,0.088
0.830563,0.0569,0.0033,0.0893,0.106
0.840431,0.0833,-0.2465,0.1213,0.287
0.850336,0.1100,-0.2768,0.1518,0.334
0.860125,0.1234,-0.3059,0.1664,0.369
0.870072,0.1369,-0.3211,0.1920,0.398
0.880567,0.1509,-0.3346,0.2282,0.432
0.891227,0.1654,-0.3444,0.2619,0.463
0.900443,0.1534,-0.3494,0.2797,0.473
0.921651,0.1147,-0.3359,0.2956,0.462
0.922400,0.0765,-0.3054,0.2964,0.432
0.930158,0.0385,-0.2861,0.3096,0.423
0.940415,0.0143,-0.2653,0.3079,0.407
0.949696,-0.0097,-0.2436,0.3052,0.391
0.960262,-0.0203,-0.2225,0.3015,0.375
0.971860,-0.0037,-0.2027,0.3103,0.371
0.980972,0.0263,-0.1844,0.3317,0.380
0.991222,0.0562,-0.1675,0.3385,0.382
0.999555,0.0722,-0.1521,0.3447,0.384
1.020370,0.1154,-0.1245,0.3368,0.377
1.021032,0.1311,-0.0710,0.3288,0.361
1.030376,0.1603,0.2400,0.3072,0.422
1.041277,0.1756,0.2632,0.2726,0.418
1.049879,0.1906,0.2837,0.1980,0.395
1.060797,0.2052,0.3000,-0.0652,0.369
1.071780,0.2192,0.3116,-0.0945,0.393
1.080369,0.2191,0.3183,-0.1081,0.401
1.090819,0.2186,0.3208,-0.1335,0.411
1.099694,0.2313,0.3198,-0.1713,0.430
1.118203,0.2301,0.3297,-0.1934,0.446
1.119368,0.2421,0.3507,-0.2122,0.476
1.130499,0.2810,0.3694,-0.2402,0.523
1.140510,0.5783,0.3861,-0.2635,0.744
1.152863,0.6165,0.3884,-0.2684,0.777
1.164227,0.6408,0.3904,-0.2827,0.802
1.170987,0.6649,0.3786,-0.2935,0.820
1.194946,0.6888,0.3666,-0.3161,0.842
1.195791,0.6989,0.3543,-0.3377,0.853
1.200182,0.3548,0.3011,-0.3448,0.579
1.225457,-0.3298,-0.0095,-0.3514,0.482
1.227776,-0.3470,-0.0183,-0.3574,0.498
1.229936,-0.3503,-0.0383,-0.3494,0.496
1.240781,-0.3399,-0.0560,-0.3411,0.485
1.272285,-0.3428,-0.0712,-0.3191,0.474
1.273977,0.2810,-0.0700,-0.2976,0.415
1.274702,0.2786,-0.0391,-0.2765,0.395
1.279475,0.2765,-0.0063,-0.2697,0.386
1.290999,0.2746,0.0288,-0.2499,0.372
1.300476,0.2730,0.0527,-0.2716,0.389
1.312976,0.2444,0.0655,-0.2939,0.388
1.319569,0.2161,0.0939,-0.3028,0.384
1.334280,0.2014,0.0816,-0.3114,0.380
1.340775,0.1865,0.0824,-0.3197,0.379
1.351255,0.1716,0.0824,-0.3144,0.368
1.365369,0.4425,0.0816,-0.3091,0.546
1.371073,0.4271,0.0796,-0.2900,0.522
1.381197,0.4253,0.0767,-0.2706,0.510
1.391016,0.4369,0.0730,-0.2510,0.509
1.401996,0.4347,0.0680,-0.2044,0.485
1.412382,0.4051,0.0481,0.0726,0.414
1.419544,0.1576,0.0273,0.1028,0.190
1.430341,0.1418,0.0064,0.1310,0.193
1.441167,0.1397,-0.0141,0.1577,0.211
1.450372,0.1243,-0.0338,0.1689,0.212
1.460581,0.1093,-0.0662,0.1907,0.230
1.471425,0.0811,-0.0840,0.1949,0.227
1.481027,0.0398,-0.1145,0.2081,0.241
1.490209,0.0127,-0.1579,0.2032,0.258
1.509487,-0.0140,-0.5546,0.1947,0.588
1.510593,-0.0401,-0.5670,0.1837,0.597
1.520490,-0.0518,-0.5749,0.1437,0.595
1.529752,-0.0357,-0.5771,-0.1948,0.610
1.541117,-0.0055,-0.5871,-0.5987,0.839
1.551047,0.0116,-0.5782,-0.9864,1.143
1.561269,0.0426,-0.5652,-1.0189,1.166
1.570454,0.0597,-0.5490,-1.0319,1.170
1.580586,0.0626,-0.5168,-1.0339,1.158
1.590737,0.0778,-0.4968,-1.0223,1.139
1.600636,0.0782,-0.4894,-0.9837,1.101
1.616413,0.0911,-0.8750,-0.9075,1.264
1.620122,0.0897,-1.1357,-0.5130,1.249
1.632107,0.0880,-1.1211,-0.4025,1.194
1.641055,0.0863,-1.4285,-0.0615,1.432
1.651249,0.0988,-1.3619,0.2341,1.385
1.660115,0.1257,-1.3022,0.3187,1.347
1.670945,0.1534,-1.2504,0.4096,1.325
1.681143,0.1816,-1.1805,0.4675,1.283
