time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001302,0.0151,-0.0445,-0.0282,0.055
0.003758,0.0007,-0.0439,-0.0419,0.061
0.009699,-0.0041,-0.0480,-0.0319,0.058
0.019683,0.0149,-0.0521,0.0113,0.055
0.020078,0.0386,-0.0608,0.0209,0.075
0.025907,0.0430,-0.0743,0.0209,0.088
0.029669,0.0522,-0.0782,0.0207,0.096
0.037404,0.0613,-0.0821,0.0156,0.104
0.039509,0.0561,-0.0812,0.0389,0.106
0.045368,0.0509,-0.0804,0.0288,0.099
0.048566,0.0648,-0.0607,-0.0287,0.093
0.055270,0.0880,-0.0317,-0.0762,0.121
0.067399,0.0588,-0.0268,-0.0427,0.077
0.068048,0.0156,-0.0267,-0.0286,0.042
0.068673,-0.0034,-0.0219,-0.0148,0.027
0.076466,0.0062,-0.0265,-0.0152,0.031
0.083518,0.0110,-0.0264,0.0034,0.029
0.083897,0.0157,-0.0359,0.0171,0.043
0.089919,-0.0034,-0.0407,0.0165,0.044
0.095634,-0.0176,-0.0170,0.0159,0.029
0.100082,-0.0222,-0.0173,-0.0131,0.031
0.104558,-0.0267,-0.0127,-0.0276,0.040
0.110464,-0.0265,-0.0223,-0.0277,0.044
0.115508,-0.0357,-0.0223,-0.0279,0.051
0.120372,-0.0211,-0.0080,-0.0328,0.040
0.127425,-0.0162,-0.0033,-0.0376,0.041
0.130327,-0.0113,-0.0033,-0.0422,0.044
0.134256,-0.0017,0.0155,-0.0563,0.058
0.139071,0.0031,0.0248,-0.0466,0.053
0.144852,-0.0064,0.0291,-0.0607,0.068
0.148627,-0.0016,0.0526,-0.0651,0.084
0.154037,-0.0205,0.0616,-0.0315,0.072
0.166670,-0.0298,0.0660,-0.0075,0.073
0.167336,-0.0391,0.0703,0.0163,0.082
0.170138,-0.0387,0.0698,0.0352,0.087
0.176076,-0.0337,0.0646,0.0541,0.091
0.178907,-0.0524,0.0501,0.0584,0.093
0.184480,-0.0567,0.0356,0.0580,0.089
0.188489,-0.0657,0.0260,0.0623,0.094
0.195372,-0.0652,0.0259,0.0858,0.111
0.200774,-0.0647,0.0163,0.0854,0.108
0.205280,-0.0690,0.0209,0.0854,0.112
0.209921,-0.0638,0.0301,0.0761,0.104
0.215670,-0.0634,0.0486,0.0433,0.091
0.219752,-0.0584,0.0622,0.0253,0.089
0.226823,-0.0486,0.0803,0.0217,0.096
0.229497,-0.0484,0.1079,0.0467,0.127
0.234161,-0.0578,0.1115,0.0384,0.131
0.238951,-0.0480,0.1245,0.0349,0.138
0.245389,-0.0479,0.1375,0.0220,0.147
0.249496,-0.0525,0.1361,0.0425,0.152
0.254826,-0.0570,0.1443,0.0581,0.166
0.260765,-0.0521,0.1429,0.0596,0.163
0.265708,-0.0567,0.1416,0.0468,0.160
0.278114,-0.0518,0.1309,0.0390,0.146
0.278892,-0.0469,0.1297,0.0314,0.141
0.279305,-0.0088,0.1191,-0.0047,0.120
0.288567,0.0147,0.1087,-0.0357,0.115
0.289548,0.0570,0.0843,-0.0475,0.112
0.294348,0.0896,0.0504,-0.0310,0.107
0.299603,0.1123,0.0311,0.0045,0.117
0.303848,0.1206,-0.0072,-0.0029,0.121
0.311171,0.1430,-0.0549,0.0038,0.153
0.316935,0.1415,-0.1166,-0.0040,0.183
0.320056,0.1401,-0.1256,-0.0308,0.191
0.325399,0.1292,-0.1488,-0.0338,0.200
0.329403,0.1184,-0.1482,-0.0181,0.191
0.334576,0.0887,-0.1477,-0.0026,0.172
0.339178,0.0641,-0.1140,0.0268,0.133
0.344509,0.0301,-0.0804,0.0273,0.090
0.348903,-0.0035,-0.0471,0.0136,0.049
0.356551,-0.0131,-0.0236,0.0141,0.030
0.365633,-0.0321,-0.0286,0.0288,0.052
0.366638,-0.0367,-0.0145,0.0339,0.052
0.371464,-0.0413,0.0043,0.0533,0.068
0.376525,-0.0315,-0.0007,0.0536,0.062
0.381699,-0.0219,0.0088,0.0588,0.063
0.387303,-0.0266,0.0134,0.0498,0.058
0.388887,-0.0503,0.0086,0.0313,0.060
0.394090,-0.0499,0.0038,0.0177,0.053
0.399202,-0.0591,0.0087,0.0184,0.063
0.403204,-0.0587,0.0041,0.0191,0.062
0.409903,-0.0488,0.0140,0.0484,0.070
0.415802,-0.0485,0.0190,0.0727,0.089
0.419705,-0.0292,0.0193,0.0589,0.069
0.424623,-0.0148,0.0292,0.0452,0.056
0.429731,-0.0053,0.0295,0.0363,0.047
0.434949,0.0042,0.0394,0.0320,0.051
0.438464,0.0183,0.0444,0.0374,0.061
0.445173,0.0229,0.0590,0.0094,0.064
0.449905,0.0084,0.0450,-0.0136,0.048
0.455274,-0.0012,0.0311,-0.0268,0.041
0.460044,-0.0060,0.0270,-0.0353,0.045
0.463575,-0.0060,0.0276,-0.0200,0.035
0.480617,-0.0060,0.0283,0.0189,0.035
0.481523,-0.0107,0.0196,0.0289,0.037
0.481964,-0.0011,0.0254,0.0340,0.042
0.484637,0.0132,0.0169,0.0341,0.040
0.489162,0.0227,0.0039,0.0436,0.049
0.493659,0.0131,-0.0185,0.0244,0.033
0.499150,0.0226,-0.0265,0.0242,0.042
0.503156,0.0083,-0.0346,0.0241,0.043
0.509913,-0.0060,-0.0379,0.0288,0.048
0.513972,0.0084,-0.0173,0.0430,0.047
0.519595,-0.0153,-0.0160,0.0239,0.033
0.527824,-0.0151,-0.0100,-0.0046,0.019
0.528956,0.0040,-0.0041,0.0003,0.006
0.534436,0.0041,-0.0030,0.0052,0.007
0.538889,0.0041,-0.0114,0.0195,0.023
0.545626,0.0137,-0.0199,0.0100,0.026
0.548773,0.0231,-0.0188,0.0146,0.033
0.556366,0.0277,-0.0414,0.0336,0.060
0.559183,0.0086,-0.0593,0.0573,0.083
0.563573,-0.0010,-0.0722,0.0855,0.112
0.577121,-0.0152,-0.0802,0.0850,0.118
0.578656,-0.0340,-0.1072,0.0941,0.147
0.579444,-0.0432,-0.1244,0.0984,0.164
0.584575,-0.0570,-0.1319,0.1028,0.177
0.589023,-0.0566,-0.1393,0.0835,0.172
0.595032,-0.0561,-0.1514,0.0738,0.178
0.599695,-0.0556,-0.1539,0.0595,0.174
0.604212,-0.0694,-0.1704,0.0265,0.186
0.609766,-0.0688,-0.1726,0.0225,0.187
0.616066,-0.0635,-0.1699,0.0139,0.182
0.619141,-0.0441,-0.1673,0.0149,0.174
0.623793,-0.0057,-0.1693,0.0208,0.171
0.630559,0.0132,-0.1667,0.0124,0.168
0.634356,0.0321,-0.1450,0.0040,0.149
0.640372,0.0460,-0.1473,-0.0045,0.154
0.645059,0.0789,-0.1636,0.0012,0.182
0.649448,0.0925,-0.1797,0.0117,0.202
0.655291,0.0870,-0.2006,0.0030,0.219
0.659339,0.0530,-0.2308,-0.0201,0.238
0.663453,0.0194,-0.2464,-0.0240,0.248
0.676755,-0.0092,-0.2430,-0.0231,0.244
0.678010,-0.0519,-0.2302,-0.0080,0.236
0.678615,-0.1037,-0.2222,-0.0070,0.245
0.697625,-0.1313,-0.1763,-0.0010,0.220
0.698276,-0.1635,-0.1449,0.0051,0.219
0.698526,-0.1907,-0.0994,0.0114,0.215
0.698754,-0.1939,-0.0540,0.0226,0.203
0.703526,-0.1924,-0.0183,0.0385,0.197
0.708490,-0.1813,0.0270,0.0732,0.197
0.713439,-0.1512,0.0533,0.1075,0.193
0.718779,-0.1261,0.0751,0.1034,0.180
0.723627,-0.1107,0.0637,0.1087,0.168
0.729928,-0.0763,0.0576,0.0852,0.128
0.734098,-0.0279,0.0469,0.0902,0.105
0.739789,0.0058,0.0315,0.1047,0.109
0.743998,0.0345,0.0163,0.0951,0.102
0.748962,0.0440,0.0057,0.0999,0.109
0.755289,0.0439,0.0189,0.0856,0.098
0.760513,0.0342,0.0363,0.1001,0.112
0.764067,0.0198,0.0582,0.0860,0.106
0.768634,0.0008,0.0654,0.0722,0.097
0.775837,-0.0085,0.0962,0.0489,0.108
0.778418,0.0011,0.1027,0.0450,0.112
0.799628,0.0249,0.1281,0.0553,0.142
0.800366,0.0390,0.1483,0.0372,0.158
0.800756,0.0672,0.1589,0.0145,0.173
0.801009,0.1094,0.1785,-0.0128,0.210
0.803897,0.1228,0.1980,-0.0495,0.238
0.809939,0.1266,0.2031,-0.1002,0.259
0.816191,0.1161,0.2033,-0.1269,0.266
0.819629,0.1342,0.2036,-0.1582,0.291
0.824549,0.1427,0.1896,-0.1514,0.281
0.828516,0.1796,0.1803,-0.1260,0.284
0.833972,0.1877,0.1710,-0.1010,0.273
0.837800,0.1958,0.1617,-0.1002,0.273
0.844166,0.1896,0.1712,-0.1044,0.276
0.848089,0.1787,0.1755,-0.0993,0.269
0.854113,0.1536,0.2032,-0.0801,0.267
0.858195,0.1192,0.2351,-0.0706,0.273
0.863915,0.0661,0.2715,-0.1086,0.300
0.875102,0.0324,0.3076,-0.1366,0.338
0.875985,0.0132,0.3387,-0.1643,0.377
0.880485,0.0227,0.3602,-0.1727,0.400
0.891522,0.0369,0.3768,-0.1859,0.422
0.892099,0.0652,0.3933,-0.1323,0.420
0.892599,0.0790,0.4098,-0.1029,0.430
0.898446,0.1021,0.3928,-0.0832,0.414
0.905427,0.1203,0.3853,-0.0637,0.409
0.910197,0.1194,0.3682,-0.0731,0.394
0.916194,0.1043,0.3511,-0.0635,0.372
0.919258,0.0797,0.3338,-0.0351,0.345
0.924501,0.0506,0.3260,0.0029,0.330
0.928788,-0.0021,0.3180,0.0124,0.318
0.935154,-0.0117,0.3099,0.0124,0.310
0.939339,-0.0497,0.3160,0.0172,0.320
0.943839,-0.0731,0.2981,-0.0062,0.307
0.950773,-0.0774,0.2947,-0.0294,0.306
0.954454,-0.0675,0.2771,-0.0619,0.292
0.959401,-0.0575,0.2549,-0.0703,0.271
0.963819,-0.0430,0.2233,-0.0550,0.234
0.980811,-0.0475,0.2017,-0.0253,0.209
0.982157,-0.0331,0.1801,0.0043,0.183
0.982874,-0.0283,0.1633,0.0146,0.166
0.987202,-0.0187,0.1465,0.0391,0.153
0.987729,-0.0188,0.1202,0.0396,0.128
1.005053,-0.0236,0.0895,0.0449,0.103
1.005839,-0.0332,0.0637,0.0407,0.083
1.006226,-0.0236,0.0383,0.0220,0.050
1.008797,-0.0188,-0.0154,-0.0012,0.024
1.014891,0.0191,-0.0590,-0.0194,0.065
1.018406,0.0378,-0.1118,-0.0233,0.120
1.022972,0.0753,-0.1547,-0.0271,0.174
1.028452,0.0934,-0.1878,-0.0119,0.210
1.034144,0.0972,-0.1876,0.0174,0.212
1.038237,0.0962,-0.2110,-0.0011,0.232
1.044512,0.0857,-0.2105,-0.0243,0.229
1.048918,0.0706,-0.1958,-0.0237,0.210
1.054220,0.0414,-0.1859,-0.0422,0.195
1.058000,0.0124,-0.1807,-0.0323,0.184
1.064389,-0.0020,-0.1897,-0.0083,0.190
1.082182,-0.0021,-0.1842,0.0108,0.185
1.083949,0.0168,-0.1978,0.0298,0.201
1.084875,0.0546,-0.1969,0.0248,0.206
1.085551,0.0636,-0.1960,-0.0134,0.206
1.088411,0.0678,-0.1856,-0.0278,0.200
1.101667,0.0672,-0.1708,-0.0278,0.186
1.102429,0.0666,-0.1560,-0.0232,0.171
1.102822,0.0470,-0.1415,-0.0281,0.152
1.108491,0.0275,-0.1175,-0.0188,0.122
1.114551,0.0178,-0.0939,-0.0286,0.100
1.119203,0.0271,-0.0609,-0.0241,0.071
1.124003,0.0078,-0.0425,-0.0244,0.050
1.127898,-0.0160,-0.0385,-0.0343,0.054
1.133946,-0.0254,-0.0202,-0.0297,0.044
1.137593,-0.0347,-0.0021,-0.0491,0.060
1.144178,-0.0344,-0.0077,-0.0541,0.065
1.148022,-0.0199,-0.0038,-0.0733,0.076
1.153694,-0.0102,-0.0047,-0.0496,0.051
1.158421,-0.0054,-0.0199,-0.0403,0.045
1.162322,0.0184,-0.0396,-0.0312,0.054
1.167326,0.0183,-0.0451,-0.0175,0.052
1.173706,0.0181,-0.0696,-0.0134,0.073
1.177354,0.0180,-0.0702,0.0002,0.072
1.188127,0.0368,-0.0661,0.0279,0.081
1.189855,0.0317,-0.0528,0.0268,0.067
1.194729,0.0172,-0.0396,0.0399,0.059
1.198724,0.0170,-0.0266,0.0292,0.043
1.207773,-0.0116,-0.0042,0.0232,0.026
1.208550,-0.0401,-0.0011,0.0221,0.046
1.213888,-0.0587,0.0257,0.0067,0.064
1.217868,-0.0583,0.0524,-0.0131,0.079
1.222978,-0.0673,0.0506,-0.0186,0.086
1.228728,-0.0715,0.0488,-0.0619,0.106
1.234316,-0.0472,0.0377,-0.0812,0.101
1.238722,-0.0326,0.0315,-0.1146,0.123
1.243539,-0.0085,0.0444,-0.1146,0.123
1.250638,0.0106,0.0287,-0.0958,0.101
1.254252,-0.0036,0.0371,-0.0772,0.086
1.258152,0.0107,0.0311,-0.0541,0.063
1.264492,0.0202,0.0300,-0.0596,0.070
1.274532,0.0201,0.0243,-0.0556,0.064
1.275888,0.0153,-0.0098,-0.0708,0.073
1.278982,0.0344,-0.0010,-0.0719,0.080
1.295169,0.0200,-0.0065,-0.0399,0.045
1.295712,0.0105,0.0024,0.0062,0.012
1.295997,-0.0084,-0.0032,0.0472,0.048
1.297696,-0.0130,0.0006,0.0642,0.066
1.303671,-0.0033,-0.0337,0.0290,0.045
1.308343,0.0016,-0.0345,0.0131,0.037
1.313172,0.0111,-0.0354,-0.0120,0.039
1.318238,0.0111,-0.0553,-0.0370,0.067
1.322412,-0.0032,-0.0467,-0.0380,0.060
1.328517,-0.0174,-0.0571,-0.0153,0.062
1.335438,-0.0267,-0.0390,-0.0115,0.049
1.339273,-0.0264,-0.0542,0.0065,0.061
1.343353,-0.0452,-0.0694,0.0292,0.088
1.349892,-0.0353,-0.0746,0.0186,0.085
1.354285,-0.0113,-0.0847,-0.0252,0.089
1.360199,0.0031,-0.0945,-0.0591,0.112
1.362875,-0.0158,-0.0899,-0.0454,0.102
1.368330,-0.0204,-0.0805,-0.0129,0.084
1.373260,-0.0201,-0.0947,0.0621,0.115
1.377513,-0.0056,-0.0993,0.1127,0.150
1.387670,-0.0102,-0.1133,0.1011,0.152
1.389223,-0.0195,-0.1129,0.0706,0.135
1.406130,-0.0287,-0.1029,0.0451,0.116
1.406882,-0.0521,-0.1026,0.0577,0.129
1.407165,-0.0611,-0.0832,0.0514,0.115
1.407403,-0.0462,-0.0735,0.0736,0.114
1.415648,-0.0362,-0.0875,0.0861,0.128
1.419428,-0.0168,-0.0728,0.0842,0.113
1.423002,0.0024,-0.0632,0.0682,0.093
1.429973,0.0263,-0.0679,0.0475,0.087
1.434140,0.0262,-0.0680,0.0079,0.073
1.439551,0.0118,-0.0681,0.0206,0.072
1.443402,-0.0167,-0.0589,0.0286,0.068
1.448828,-0.0354,-0.0591,0.0272,0.074
1.453399,-0.0351,-0.0594,0.0306,0.075
1.459347,-0.0489,-0.0598,0.0198,0.080
1.464561,-0.0437,-0.0508,0.0233,0.071
1.468449,-0.0480,-0.0559,0.0221,0.077
1.473382,-0.0523,-0.0514,0.0351,0.081
1.477183,-0.0708,-0.0566,0.0526,0.105
1.487615,-0.0796,-0.0378,0.0795,0.119
1.489327,-0.0693,-0.0287,0.0919,0.119
1.502575,-0.0592,-0.0291,0.1043,0.123
1.503305,-0.0539,-0.0392,0.1024,0.122
1.503553,-0.0533,-0.0206,0.0911,0.108
1.507444,-0.0718,-0.0166,0.0989,0.123
1.513739,-0.0902,-0.0078,0.0924,0.129
1.518605,-0.0941,-0.0039,0.1098,0.145
1.523154,-0.0886,0.0238,0.1272,0.157
1.528204,-0.0783,0.0276,0.1208,0.147
1.534501,-0.0777,0.0218,0.1051,0.132
1.539037,-0.0723,0.0115,0.0991,0.123
1.543251,-0.0622,0.0157,0.1122,0.129
1.550602,-0.0569,0.0056,0.0919,0.108
1.553497,-0.0374,-0.0089,0.0576,0.069
1.560378,-0.0276,-0.0137,0.0281,0.042
1.562166,-0.0130,-0.0186,0.0178,0.029
1.567691,0.0109,-0.0091,0.0455,0.048
1.573681,-0.0081,-0.0044,0.0730,0.074
1.577846,-0.0080,0.0049,0.0481,0.049
1.590298,0.0159,0.0237,0.0092,0.030
1.591890,0.0063,0.0280,-0.0341,0.045
1.596604,-0.0079,0.0419,-0.0630,0.076
1.600527,-0.0125,0.0416,-0.0823,0.093
1.615765,-0.0075,0.0271,-0.0633,0.069
1.616883,0.0069,0.0270,-0.0636,0.069
1.617305,0.0307,0.0221,-0.0545,0.066
1.617633,0.0448,0.0314,-0.0597,0.081
1.627560,0.0541,0.0309,-0.0411,0.075
1.628321,0.0489,0.0399,-0.0509,0.081
1.634229,0.0249,0.0393,-0.0464,0.066
1.638522,0.0295,0.0481,-0.0419,0.070
1.643910,0.0435,0.0521,-0.0566,0.088
1.650740,0.0385,0.0560,-0.0662,0.095
1.654764,0.0619,0.0598,-0.0947,0.128
1.658082,0.0520,0.0587,-0.0898,0.119
1.662452,0.0468,0.0718,-0.0612,0.105
1.668274,0.0417,0.0705,-0.0567,0.100
1.673711,0.0556,0.0740,-0.0473,0.104
1.677592,0.0410,0.0775,-0.0618,0.107
1.691783,0.0407,0.0762,-0.0715,0.112
1.693173,0.0261,0.0655,-0.0906,0.115
1.693843,0.0355,0.0691,-0.1050,0.131
1.698572,0.0400,0.0728,-0.0766,0.113
1.703848,0.0540,0.0623,-0.0674,0.107
1.712574,0.0442,0.0520,-0.0678,0.096
1.713482,0.0487,0.0465,-0.0397,0.078
1.717076,0.0436,0.0504,-0.0118,0.068
1.723011,0.0291,0.0494,-0.0221,0.061
1.728082,0.0194,0.0627,-0.0275,0.071
1.733437,-0.0234,0.0522,-0.0138,0.059
1.739019,-0.0374,0.0561,-0.0096,0.068
1.743043,-0.0513,0.0552,-0.0055,0.076
1.747879,-0.0650,0.0734,0.0081,0.098
1.754158,-0.0692,0.0864,0.0407,0.118
1.758406,-0.0829,0.0805,0.0494,0.126
1.763332,-0.0916,0.0700,0.0345,0.120
1.768734,-0.0909,0.0595,0.0390,0.115
1.774900,-0.0665,0.0491,0.0245,0.086
1.777777,-0.0612,0.0246,0.0149,0.068
1.796659,-0.0465,0.0146,0.0054,0.049
1.797405,-0.0319,0.0048,-0.0040,0.032
1.797636,-0.0412,-0.0050,-0.0038,0.042
1.797842,-0.0313,-0.0098,-0.0085,0.034
1.803185,-0.0311,-0.0001,0.0201,0.037
1.808835,-0.0403,-0.0049,0.0246,0.047
1.812971,-0.0400,-0.0095,0.0244,0.048
1.818074,-0.0301,-0.0093,0.0054,0.032
1.823579,-0.0156,-0.0185,-0.0183,0.030
1.827971,-0.0060,-0.0180,-0.0277,0.034
1.833214,0.0131,-0.0365,-0.0371,0.054
1.838050,0.0131,-0.0310,-0.0084,0.035
1.843378,0.0272,-0.0256,0.0295,0.048
1.847552,0.0271,-0.0250,0.0482,0.061
1.853474,0.0126,-0.0150,0.0620,0.065
1.857699,-0.0017,-0.0097,0.0518,0.053
1.863258,-0.0206,-0.0091,0.0277,0.036
1.866982,-0.0109,0.0057,0.0227,0.026
1.879286,-0.0108,0.0109,0.0320,0.035
1.881026,0.0036,0.0162,0.0175,0.024
1.882323,0.0226,0.0308,-0.0113,0.040
1.887067,0.0273,0.0312,-0.0208,0.046
1.902673,0.0224,0.0173,-0.0113,0.030
1.903495,0.0222,0.0034,0.0218,0.031
1.903902,0.0269,0.0276,0.0403,0.056
1.907376,0.0362,0.0182,0.0113,0.042
1.913980,0.0265,0.0185,-0.0033,0.032
1.918560,0.0169,0.0330,-0.0179,0.041
1.923132,0.0405,0.0236,-0.0229,0.052
1.927270,0.0403,0.0236,-0.0183,0.050
1.933306,0.0448,-0.0002,-0.0329,0.056
1.937934,0.0207,0.0093,-0.0236,0.033
1.943913,0.0016,0.0187,-0.0000,0.019
1.949782,-0.0079,0.0326,0.0234,0.041
1.954247,-0.0221,0.0464,0.0183,0.055
1.957872,-0.0409,0.0553,0.0136,0.070
1.963699,-0.0454,0.0736,-0.0005,0.086
1.967813,-0.0356,0.0870,-0.0144,0.095
1.974243,-0.0306,0.0862,-0.0234,0.094
1.977278,-0.0351,0.0758,0.0104,0.084
1.989923,-0.0254,0.0608,-0.0035,0.066
1.991514,-0.0253,0.0459,-0.0408,0.066
1.992206,-0.0347,0.0551,-0.0732,0.098
1.998604,-0.0202,0.0407,-0.0769,0.089
2.002593,-0.0105,0.0360,-0.0760,0.085
2.008196,0.0086,0.0076,-0.0566,0.058
2.013990,0.0086,-0.0063,-0.0421,0.043
2.018715,0.0133,-0.0249,-0.0181,0.034
2.023558,0.0133,-0.0244,0.0202,0.034
2.027792,0.0227,-0.0191,0.0771,0.083
2.035140,0.0320,-0.0282,0.0765,0.088
2.039216,0.0175,-0.0277,0.0664,0.074
2.043882,0.0268,-0.0369,0.0658,0.080
2.046863,0.0219,-0.0413,0.0604,0.076
2.053133,0.0075,-0.0172,0.0836,0.086
2.058088,-0.0116,-0.0077,0.1304,0.131
2.061685,-0.0353,0.0206,0.1721,0.177
2.067282,-0.0540,0.0486,0.1708,0.186
2.072598,-0.0821,0.0573,0.0983,0.140
2.077635,-0.1100,0.0898,0.0170,0.143
2.091310,-0.1329,0.1222,0.0267,0.182
2.092944,-0.1176,0.1354,0.0743,0.194
2.093742,-0.0882,0.1439,0.0743,0.184
2.097638,-0.0543,0.1476,0.0601,0.168
2.112604,-0.0064,0.1277,0.0412,0.134
2.113343,0.0269,0.0983,0.0223,0.104
2.113603,0.0551,0.0787,-0.0062,0.096
2.118096,0.0737,0.0639,-0.0394,0.105
2.123611,0.0636,0.0398,-0.0724,0.104
2.128031,0.0868,0.0157,-0.1147,0.145
2.132991,0.1146,0.0059,-0.1330,0.176
2.139102,0.1089,0.0102,-0.1179,0.161
2.142610,0.0985,0.0002,-0.0839,0.129
2.150032,0.0976,-0.0004,-0.0690,0.120
2.152984,0.0730,-0.0058,-0.0637,0.097
2.158342,0.0581,0.0029,-0.0726,0.093
2.162291,0.0433,-0.0121,-0.0482,0.066
2.167575,0.0333,-0.0177,-0.0429,0.057
2.171938,0.0282,-0.0375,-0.0472,0.067
2.177204,0.0184,-0.0475,-0.0468,0.069
2.191665,0.0040,-0.0669,-0.0132,0.068
2.193229,-0.0009,-0.0860,0.0248,0.090
2.193885,-0.0104,-0.1002,0.0482,0.112
2.197841,-0.0008,-0.1094,0.0620,0.126
2.203249,-0.0009,-0.0996,0.0803,0.128
2.210312,-0.0104,-0.1089,0.0890,0.141
2.213255,-0.0150,-0.1084,0.0785,0.135
2.217188,-0.0481,-0.1030,0.0633,0.130
2.224137,-0.0477,-0.0976,0.0578,0.123
2.227980,-0.0378,-0.1158,0.0427,0.129
2.234275,-0.0231,-0.1196,0.0324,0.126
2.238673,-0.0134,-0.1376,0.0220,0.140
2.242400,-0.0131,-0.1315,0.0116,0.133
2.247237,-0.0082,-0.1065,0.0345,0.112
2.254971,-0.0080,-0.1102,0.0666,0.129
2.257985,-0.0315,-0.0949,0.0891,0.134
2.262517,-0.0596,-0.0701,0.0782,0.121
2.267458,-0.0590,-0.0455,0.0579,0.094
2.272744,-0.0822,-0.0591,0.0663,0.121
2.278816,-0.0766,-0.0582,0.0653,0.116
2.297855,-0.0759,-0.0525,0.0501,0.105
2.300392,-0.0562,-0.0611,0.0638,0.105
2.301543,-0.0557,-0.0507,0.0726,0.105
2.302390,-0.0409,-0.0545,0.0528,0.086
2.303155,-0.0358,-0.0679,0.0427,0.088
2.318837,-0.0402,-0.0717,0.0470,0.095
2.319583,-0.0208,-0.0659,0.0513,0.086
2.319873,-0.0159,-0.0555,0.0794,0.098
2.322728,-0.0252,-0.0689,0.0644,0.098
2.326416,-0.0202,-0.0489,0.0306,0.061
2.333112,-0.0152,-0.0196,0.0113,0.027
2.339859,-0.0198,-0.0095,0.0111,0.025
2.342188,-0.0006,0.0054,0.0061,0.008
2.347132,0.0185,0.0060,-0.0085,0.021
2.353081,0.0280,0.0351,-0.0232,0.051
2.358482,0.0422,0.0309,-0.0523,0.074
2.362458,0.0706,0.0363,-0.0530,0.095
2.367325,0.1035,0.0322,-0.0635,0.126
2.372799,0.1315,0.0330,-0.0838,0.159
2.377518,0.1402,0.0288,-0.1087,0.180
2.393310,0.1346,0.0436,-0.1478,0.205
2.394690,0.1102,0.0676,-0.1631,0.208
2.395408,0.0859,0.0818,-0.1690,0.206
2.397010,0.0428,0.1052,-0.1320,0.174
2.401247,0.0001,0.1331,-0.1047,0.169
2.413724,-0.0281,0.1512,-0.0917,0.179
2.414367,-0.0418,0.1548,-0.0739,0.177
2.418195,-0.0365,0.1489,-0.0751,0.171
2.422715,-0.0169,0.1429,-0.0808,0.165
2.427798,-0.0023,0.1182,-0.1004,0.155
2.433487,0.0216,0.0888,-0.0913,0.129
2.437047,0.0359,0.0502,-0.0823,0.103
2.441967,0.0642,0.0118,-0.0544,0.085
2.447781,0.0876,-0.0074,-0.0125,0.089
2.452513,0.0965,-0.0218,0.0195,0.101
2.457890,0.0959,-0.0171,0.0275,0.101
2.462461,0.0905,-0.0316,0.0307,0.101
2.468623,0.0757,-0.0225,0.0244,0.083
2.475471,0.0609,0.0056,0.0278,0.067
2.478049,0.0368,0.0050,0.0453,0.059
2.494087,0.0223,0.0043,0.0390,0.045
2.494851,-0.0015,0.0227,0.0186,0.029
2.495112,-0.0108,0.0268,0.0126,0.032
2.497717,-0.0248,0.0310,0.0113,0.041
2.502771,-0.0197,0.0351,0.0147,0.043
2.506788,-0.0432,0.0536,0.0182,0.071
2.513328,-0.0569,0.0483,0.0264,0.079
2.517480,-0.0610,0.0480,0.0298,0.083
2.521879,-0.0746,0.0620,0.0237,0.100
2.528075,-0.0880,0.0570,0.0415,0.113
2.532703,-0.0776,0.0521,0.0355,0.100
2.538607,-0.0768,0.0332,0.0202,0.086
2.542741,-0.0665,0.0191,0.0478,0.084
2.547235,-0.0516,0.0099,0.0516,0.074
2.551960,-0.0464,0.0054,0.0555,0.073
2.557527,-0.0317,0.0104,0.0784,0.085
2.562390,-0.0361,0.0058,0.0871,0.094
2.566554,-0.0453,0.0106,0.0672,0.082
2.571513,-0.0639,0.0153,0.0715,0.097
2.577856,-0.0776,-0.0038,0.0616,0.099
2.587677,-0.0960,-0.0181,0.0519,0.111
2.589266,-0.1048,-0.0037,0.0426,0.113
2.606779,-0.0946,-0.0179,0.0383,0.104
2.607557,-0.0892,-0.0129,0.0341,0.096
2.607939,-0.0553,-0.0365,0.0159,0.068
2.608322,-0.0360,-0.0360,0.0120,0.052
2.612571,-0.0073,-0.0401,0.0319,0.052
2.616885,-0.0026,-0.0394,0.0611,0.073
2.622988,0.0163,-0.0433,0.0709,0.085
2.627301,0.0351,-0.0472,0.0759,0.096
2.634043,0.0395,-0.0510,0.0477,0.080
2.638750,0.0391,-0.0643,0.0290,0.081
2.641949,0.0434,-0.0585,0.0152,0.074
2.650425,0.0478,-0.0479,0.0015,0.068
2.653917,0.0379,-0.0421,0.0020,0.057
2.657863,0.0328,-0.0507,0.0071,0.061
2.662192,0.0325,-0.0355,0.0170,0.051
2.666962,0.0180,-0.0204,0.0267,0.038
2.673138,-0.0012,-0.0104,0.0267,0.029
2.677450,-0.0107,-0.0051,0.0363,0.038
2.691887,-0.0201,0.0000,0.0316,0.037
2.693313,-0.0295,0.0193,0.0697,0.078
2.693922,-0.0245,0.0194,0.0837,0.089
2.696485,-0.0291,0.0241,0.1167,0.123
2.702646,-0.0289,0.0287,0.1021,0.110
2.715245,-0.0193,0.0380,0.0734,0.085
2.715977,-0.0240,0.0472,0.0498,0.073
2.716335,-0.0096,0.0611,0.0452,0.077
2.722318,-0.0049,0.0702,0.0265,0.075
2.728847,0.0046,0.0697,0.0030,0.070
2.732141,0.0045,0.0788,0.0176,0.081
